id_department,department_name,terrain_area,old_antenna,new_antenna_type
10,Cauca,1292000,16,d
17,Huila,1156000,3,b
30,Valle del Cauca,1764600,14,a
29,Tolima,1432000,4,a
9,Casanare,1246200,16,c
28,Sucre,394200,10,d
25,Risaralda,709800,0,e
14,Cundinamarca,811600,17,d
7,Caldas,63800,9,d
31,Vaupes,998400,5,b
4,Atlantico,1112000,24,b
21,Narino,92200,18,e
31,Vaupes,1590200,22,a
9,Casanare,1028800,14,e
9,Casanare,1129600,21,b
25,Risaralda,1096800,16,d
4,Atlantico,816400,24,b
7,Caldas,908800,26,d
20,Meta,1222400,27,e
22,Norte de Santander,1982000,11,c
8,Caqueta,761000,0,d
17,Huila,242400,15,a
11,Cesar,1216400,16,a
15,Guainia,254600,27,a
30,Valle del Cauca,1055800,1,e
29,Tolima,577200,7,b
26,San Andres y Providencia,381800,25,c
19,Magdalena,1427200,22,d
21,Narino,1625800,23,a
20,Meta,1176000,26,c
2,Antioquia,298000,28,a
17,Huila,675600,8,d
23,Putumayo,1314200,30,c
27,Santander,1884000,29,d
6,Boyaca,632400,18,a
6,Boyaca,1126800,11,b
7,Caldas,441800,12,b
30,Valle del Cauca,1103000,24,a
16,Guaviare,897600,24,d
4,Atlantico,921400,0,e
2,Antioquia,197200,10,b
26,San Andres y Providencia,755600,22,a
19,Magdalena,914600,6,e
20,Meta,168000,0,a
8,Caqueta,1857800,0,b
3,Arauca,1034200,6,d
15,Guainia,152800,0,b
18,La Guajira,1522400,28,d
17,Huila,444600,8,a
21,Narino,1524000,0,a
10,Cauca,471000,27,d
31,Vaupes,11400,13,a
17,Huila,1672800,19,d
3,Arauca,1422200,5,a
7,Caldas,1292000,18,d
21,Narino,761800,13,e
29,Tolima,637800,12,a
26,San Andres y Providencia,1684000,24,c
21,Narino,595400,10,b
10,Cauca,1662000,23,b
3,Arauca,1427800,13,d
5,Bolivar,764400,7,c
1,Amazonas,401400,30,d
3,Arauca,1973200,28,d
3,Arauca,906800,11,a
17,Huila,266400,2,d
11,Cesar,131000,28,d
7,Caldas,1433600,17,d
9,Casanare,295800,26,a
25,Risaralda,264000,10,a
10,Cauca,223000,4,a
5,Bolivar,730800,29,b
15,Guainia,683000,10,a
5,Bolivar,1222800,7,d
17,Huila,582000,4,b
16,Guaviare,1418400,18,a
18,La Guajira,1997000,0,b
21,Narino,1334400,17,c
25,Risaralda,318400,25,d
27,Santander,1647600,15,c
13,Cordoba,1362600,20,c
13,Cordoba,1378200,15,c
12,Choco,280800,9,d
5,Bolivar,1013000,14,a
4,Atlantico,1545200,9,c
20,Meta,1556600,22,c
5,Bolivar,299600,26,c
4,Atlantico,1168400,18,a
12,Choco,1150200,9,d
17,Huila,301000,27,d
20,Meta,1561200,9,b
11,Cesar,741000,15,e
26,San Andres y Providencia,542000,1,c
11,Cesar,1295400,18,c
3,Arauca,930200,29,c
12,Choco,1782800,23,d
24,Quindio,1974800,18,d
17,Huila,1256400,13,c
8,Caqueta,83800,11,a
26,San Andres y Providencia,1582200,8,b
31,Vaupes,218400,17,c
13,Cordoba,1812200,30,b
30,Valle del Cauca,1245200,6,c
32,Vichada,1399000,9,c
26,San Andres y Providencia,1607200,21,b
28,Sucre,1428000,2,a
30,Valle del Cauca,141800,22,c
12,Choco,80000,8,c
23,Putumayo,370400,10,e
30,Valle del Cauca,1327400,28,e
1,Amazonas,1354800,8,c
7,Caldas,213000,18,e
21,Narino,1232800,29,c
20,Meta,1384800,29,b
28,Sucre,267000,21,e
6,Boyaca,967400,25,b
7,Caldas,1254000,18,e
17,Huila,1861200,5,b
16,Guaviare,36000,14,c
27,Santander,449200,28,c
9,Casanare,1589000,7,b
18,La Guajira,898000,1,e
15,Guainia,1070600,17,c
31,Vaupes,1345400,5,d
16,Guaviare,1105400,11,a
21,Narino,569200,23,d
2,Antioquia,1770200,27,c
6,Boyaca,283000,21,b
21,Narino,1452000,27,b
25,Risaralda,69800,11,e
2,Antioquia,1004000,1,e
26,San Andres y Providencia,1684400,11,a
22,Norte de Santander,1639800,27,e
6,Boyaca,1044400,22,c
7,Caldas,1750400,19,b
17,Huila,980600,17,a
9,Casanare,66400,10,d
7,Caldas,1500400,25,e
29,Tolima,495200,17,b
15,Guainia,324000,26,c
28,Sucre,784600,17,d
3,Arauca,116200,3,a
9,Casanare,770600,22,c
4,Atlantico,1173200,16,d
2,Antioquia,896000,29,e
9,Casanare,876800,8,a
14,Cundinamarca,503800,25,a
12,Choco,611000,12,a
32,Vichada,819200,26,c
12,Choco,503200,7,d
7,Caldas,984800,25,b
4,Atlantico,1990600,26,c
22,Norte de Santander,1161000,15,d
16,Guaviare,711400,0,d
19,Magdalena,1045200,22,a
19,Magdalena,98800,24,a
30,Valle del Cauca,92400,3,d
21,Narino,705000,16,d
3,Arauca,1873800,8,a
13,Cordoba,537800,12,e
8,Caqueta,1596800,0,b
31,Vaupes,197800,0,e
24,Quindio,1381400,30,c
4,Atlantico,1491400,4,a
18,La Guajira,1390400,8,a
21,Narino,1098000,17,e
14,Cundinamarca,549200,4,e
8,Caqueta,1888600,14,a
11,Cesar,1408600,13,e
21,Narino,1234600,16,b
23,Putumayo,1825200,20,c
22,Norte de Santander,1613000,24,c
27,Santander,154800,23,c
27,Santander,1182200,27,c
13,Cordoba,201200,15,c
24,Quindio,942200,1,a
10,Cauca,954200,2,d
9,Casanare,1436600,12,e
29,Tolima,1348200,0,d
7,Caldas,452600,29,d
27,Santander,1093600,3,e
9,Casanare,718200,10,c
14,Cundinamarca,1986400,6,e
5,Bolivar,769600,10,d
32,Vichada,1580400,3,a
32,Vichada,1345400,1,c
7,Caldas,1399400,24,c
10,Cauca,115800,21,a
27,Santander,1178200,20,b
15,Guainia,761400,12,a
18,La Guajira,1827200,26,d
26,San Andres y Providencia,981400,20,a
3,Arauca,1108400,18,a
14,Cundinamarca,443600,14,b
4,Atlantico,69600,7,a
32,Vichada,1447000,22,d
15,Guainia,640600,10,a
27,Santander,1765000,6,a
8,Caqueta,1136800,21,e
32,Vichada,245000,17,e
15,Guainia,1969200,13,b
9,Casanare,571400,0,e
4,Atlantico,551800,3,e
17,Huila,1605800,10,e
23,Putumayo,1560400,25,c
22,Norte de Santander,1130000,25,d
29,Tolima,560200,8,c
8,Caqueta,128800,28,c
6,Boyaca,1475000,8,a
12,Choco,1013400,8,e
11,Cesar,1560600,26,a
30,Valle del Cauca,949200,1,d
7,Caldas,435600,5,d
23,Putumayo,870400,9,a
22,Norte de Santander,9600,21,a
5,Bolivar,914200,30,b
27,Santander,258200,18,e
1,Amazonas,1651400,23,a
19,Magdalena,1027800,29,a
18,La Guajira,1677200,19,c
15,Guainia,598200,6,a
12,Choco,439800,21,e
15,Guainia,990400,23,b
19,Magdalena,137200,13,a
10,Cauca,710800,26,a
18,La Guajira,660400,0,d
16,Guaviare,640200,6,c
16,Guaviare,992200,16,b
26,San Andres y Providencia,989200,30,a
26,San Andres y Providencia,62200,14,a
11,Cesar,498800,22,d
8,Caqueta,1649000,21,d
31,Vaupes,500000,14,d
4,Atlantico,1543400,22,d
25,Risaralda,860400,3,c
29,Tolima,829000,6,e
29,Tolima,582800,21,d
31,Vaupes,826400,23,c
26,San Andres y Providencia,1057400,30,e
12,Choco,720600,5,a
15,Guainia,1344800,11,e
25,Risaralda,713400,27,a
28,Sucre,1957200,19,b
27,Santander,158400,4,c
10,Cauca,222200,29,b
29,Tolima,1357000,0,c
5,Bolivar,1262800,25,b
28,Sucre,1119000,7,b
27,Santander,993400,12,e
12,Choco,1099200,6,d
9,Casanare,601400,22,a
10,Cauca,651600,9,a
4,Atlantico,27200,7,a
25,Risaralda,1626000,4,b
7,Caldas,1009600,5,b
23,Putumayo,495400,24,a
19,Magdalena,1350800,8,e
3,Arauca,456400,29,e
22,Norte de Santander,307400,25,b
6,Boyaca,1246000,17,b
19,Magdalena,162200,25,d
16,Guaviare,319800,27,c
7,Caldas,394000,21,c
15,Guainia,1245800,19,e
16,Guaviare,155800,24,b
27,Santander,1977400,3,a
22,Norte de Santander,1288200,22,c
27,Santander,689600,13,a
3,Arauca,1780800,19,a
6,Boyaca,1965400,22,b
24,Quindio,1137800,21,e
15,Guainia,369600,24,c
7,Caldas,1278000,6,e
22,Norte de Santander,1482000,20,a
29,Tolima,1287600,11,e
18,La Guajira,552600,17,a
1,Amazonas,872400,10,e
29,Tolima,898200,7,c
12,Choco,1142800,26,e
11,Cesar,679600,8,e
3,Arauca,982200,16,a
31,Vaupes,729000,7,a
32,Vichada,728800,25,d
19,Magdalena,1700600,23,b
20,Meta,1811400,21,e
8,Caqueta,1527200,2,d
8,Caqueta,595000,12,d
32,Vichada,64800,12,b
13,Cordoba,1670600,24,d
11,Cesar,1590000,2,d
14,Cundinamarca,1004600,1,e
19,Magdalena,1981800,26,e
22,Norte de Santander,1774800,27,a
28,Sucre,887800,11,a
22,Norte de Santander,280200,11,b
13,Cordoba,684600,8,c
5,Bolivar,712000,2,c
17,Huila,701800,27,b
21,Narino,1286000,20,b
29,Tolima,617600,16,e
14,Cundinamarca,502800,4,d
17,Huila,1540600,28,e
31,Vaupes,1683200,5,a
8,Caqueta,738400,30,d
23,Putumayo,1261000,18,d
13,Cordoba,865800,18,d
13,Cordoba,983800,23,a
31,Vaupes,998800,24,a
8,Caqueta,1158400,30,d
14,Cundinamarca,313200,0,e
18,La Guajira,1004200,30,c
18,La Guajira,1246000,12,b
27,Santander,117000,8,d
30,Valle del Cauca,1092800,1,e
32,Vichada,1677400,5,a
27,Santander,493600,21,a
26,San Andres y Providencia,1960000,12,d
14,Cundinamarca,567400,23,a
28,Sucre,1259400,27,d
32,Vichada,1415400,10,a
5,Bolivar,992400,7,e
10,Cauca,562000,0,e
12,Choco,192200,10,d
20,Meta,1944200,12,b
5,Bolivar,1251400,22,b
1,Amazonas,1234800,7,a
24,Quindio,1767600,3,c
32,Vichada,163200,11,c
19,Magdalena,82000,28,d
27,Santander,1134000,10,a
25,Risaralda,1455600,14,d
